name,D_Mpc,n_points,Rmax_kpc,lambda0_kpc_fixed,Nosc_Rmax_over_lambda0,chi2_reduced,R_squared,RMSE_km_s,V_max_fixed,A,zeta,phi0_rad,Rc_kpc,success
NGC6015,17.0,44,29.23,37.999,0.7692307692307692,5.454835923072546,0.9403485923824585,6.5555979142150225,155.0,0.018419101958766143,0.99,4.1728244329123685,1.9270468765632012,True
NGC6195,127.8,23,36.43,47.359,0.7692307692307692,1.3605075325067215,0.7410822968749624,8.155128450183867,254.5,0.0340230152776877,0.99,5.801465942912107,1.16908616545964,True
NGC6503,6.26,31,23.5,30.55,0.7692307692307692,1.4686981191098059,0.9263279826671578,2.071933657420986,115.0,0.017291342175971072,0.99,2.9973881985039146,0.7548756650458694,True
NGC6674,51.2,15,72.41,94.133,0.7692307692307693,1.97287263574904,0.9620788040587719,4.072660379413504,242.0,0.07608225786059093,0.99,3.6897884721187757,3.184564122956338,True
NGC6946,5.52,58,20.4,26.52,0.7692307692307692,2.478622358537893,0.7643413276568211,7.085442359043326,158.0,0.32036216683426677,0.48067562361579563,2.2573145726467145,0.05,True
NGC7331,14.7,36,36.31,47.203,0.7692307692307693,0.34586504823931974,0.9093832749083259,2.438489930664696,239.0,0.04000523226379608,0.99,4.050537766967978,1.9697132837283098,True
NGC7793,3.61,46,7.87,10.231,0.7692307692307693,0.9243935012098993,0.96862470283422,5.391407144307004,110.5,0.1049329265589271,0.9899999957833967,0.5278746621242023,0.4185574354070366,True
NGC7814,14.4,18,19.53,25.389000000000003,0.7692307692307692,1.0334782235617952,0.3518711649765306,10.904386092646396,214.0,0.15439188323325126,0.7540764639452967,3.2225247374162667,0.05,True
UGC00128,64.5,22,53.75,69.875,0.7692307692307693,2.8531091048251542,0.9894313382926766,2.321492504978866,131.0,0.034854421100739635,0.99,0.700592687619716,3.8400311976629946,True
UGC00731,12.5,12,10.91,14.183,0.7692307692307693,0.036720398944493866,0.9989289836671584,0.44347942652349615,73.85,0.30006190432986807,0.5869044208531747,6.108445411796888,1.8957462767903912,True
UGC01230,53.7,11,36.54,47.502,0.7692307692307692,0.16579176148273228,0.982482408867435,3.611789836608021,104.0,0.07723599518566092,0.99,3.075276496862087,3.8224304821295965,True
UGC01281,5.27,25,4.99,6.487,0.7692307692307693,0.025254454309215364,0.9988483939477706,0.5974172589817024,55.0,0.47052535573794696,0.45455870710195556,0.6378757417604554,1.5095908503886215,True
UGC02487,69.1,17,80.38,104.494,0.7692307692307692,3.4807039041493364,0.6364526814832128,12.50210797732271,330.0,0.397159974283287,0.6722349160652179,2.7418479964458804,0.05,True
UGC02885,80.6,19,74.07,96.291,0.7692307692307692,1.3000595374092716,0.4207414042873454,10.130956483430033,298.0,0.04706645590301223,0.9899996768841614,0.03145085944838044,0.050001740749279835,True
UGC02916,65.4,43,38.0,49.4,0.7692307692307693,1.9578849274308618,0.27474680789361683,8.354875984534278,210.0,0.02542369591718842,0.01,2.9392867388044315,0.05,True
UGC02953,16.5,115,62.39,81.107,0.7692307692307693,7.290819123514601,0.09675208280993408,26.876773022427955,264.0,0.0785364911604396,0.99,3.140879726145495,0.3713011334039801,True
